TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
Crack Rock,Frank Ocean,2012,89,74,56,-8,38,224.000000064,9,56
Pyramids,Frank Ocean,2012,132,65,41,-6,20,593.000000064,1,61
Lost,Frank Ocean,2012,123,60,91,-5,49,234.0,3,63
White,Frank Ocean,2012,138,7,55,-19,28,76.0000000032,78,53
Bad Religion,Frank Ocean,2012,82,36,28,-8,13,175.00000003199997,78,57
Pink Matter,Frank Ocean,2012,84,25,40,-11,49,269.00000006399995,95,61
Forrest Gump,Frank Ocean,2012,95,39,68,-8,24,195.000000048,10,61
End,Frank Ocean,2012,120,30,56,-18,33,135.0,40,50
Lone Digger,Caravan Palace,2015,124,94,77,-4,87,229.99999996800003,59,53
Temporary View,SBTRKT,2014,145,71,71,-5,26,206.000000064,55,39
Furthest Thing,Drake,2013,137,78,48,-5,27,267.000000048,15,45
Started From the Bottom,Drake,2013,86,52,79,-8,57,173.999999952,3,48
From Time,Drake,2013,94,49,74,-10,45,321.999999984,63,47
"Hold On, We're Going Home",Drake,2013,100,41,78,-7,29,227.999999952,0,51
Space Bound,Eminem,2010,142,89,67,-3,50,279.0,4,67
Faded,ZHU,2014,125,48,87,-7,61,222.999999984,1,59
Cocaine Model,ZHU,2014,120,71,79,-6,31,254.99999995199997,25,56
Unstoppable - FKJ Remix,Lianne La Havas,2015,92,56,65,-8,50,315.99999993600005,18,52
Coming Over,Dillon Francis,2015,174,66,63,-5,70,177.999999984,23,61
Birch Tree,Foals,2015,108,79,66,-7,47,261.0,2,58
Mariah - Kaytranada Remix,American Royalty,2013,80,40,61,-6,19,261.999999936,1,37
Next Year - RAC Remix,Two Door Cinema Club,2013,123,74,73,-6,39,285.999999984,28,4
Four Walls and an Amplifier,Brock Berrigan,2014,81,66,76,-4,65,132.9999999984,25,48
Retro [ROUGH],Childish Gambino,2014,110,64,87,-6,30,202.999999968,23,10
All We Got (feat. Kanye West & Chicago Children's Choir),Chance the Rapper,2016,132,54,53,-9,40,204.000000048,31,64
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,2016,135,80,65,-5,79,305.00000006399995,16,72
Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper,2016,145,43,69,-12,48,290.000000016,68,62
D.R.A.M. Sings Special,Chance the Rapper,2016,148,21,41,-13,21,101.9999999952,94,56
